Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
A&W,Baby Burger without Cheese,240,72,8.0,3.0,0.2,25.0,450.0,29.0,1.0,5.0,12.0,12.0,15.0,8.0,19.0,10.0,4.0,24.0,0.0,0.0,4.0,15.0,Burgers,8.0,8.0,6.0
A&W,Baby Burger with Cheese,298,117,13.0,6.0,0.4,35.0,550.0,29.0,1.0,6.0,15.0,20.0,30.0,12.0,23.0,10.0,4.0,30.0,6.0,0.0,10.0,20.0,Burgers,10.0,10.0,8.0
A&W,Beyond Meat Burger,500,261,29.0,5.0,0.0,5.0,1110.0,40.0,3.0,8.0,22.0,45.0,25.0,2.0,46.0,13.0,12.0,44.0,0.0,4.0,6.0,45.0,Burgers,15.0,15.0,14.0
A&W,Buddy Burger without Cheese,310,117,13.0,4.5,0.2,30.0,700.0,36.0,2.0,10.0,13.0,20.0,23.0,10.0,29.0,12.0,8.0,26.0,0.0,0.0,4.0,15.0,Burgers,11.0,11.0,8.0
A&W,Buddy Burger with Cheese,370,144,16.0,7.0,0.3,40.0,770.0,35.0,2.0,9.0,16.0,25.0,35.0,13.0,32.0,12.0,8.0,32.0,6.0,0.0,10.0,15.0,Burgers,13.0,13.0,9.0
A&W,Cheddar Bacon Uncle Burger,760,432,48.0,19.0,1.0,120.0,1160.0,38.0,1.0,8.0,39.0,74.0,95.0,40.0,48.0,13.0,4.0,78.0,10.0,4.0,20.0,35.0,Burgers,25.0,25.0,20.0
A&W,without Cheese Double Buddy Burger,400,171,19.0,8.0,0.4,55.0,830.0,36.0,2.0,10.0,21.0,29.0,40.0,18.0,35.0,12.0,8.0,42.0,0.0,0.0,4.0,20.0,Burgers,13.0,13.0,11.0
A&W,with Cheese Double Buddy Burger,460,198,22.0,10.0,0.5,70.0,900.0,35.0,2.0,9.0,24.0,34.0,50.0,23.0,38.0,12.0,8.0,48.0,6.0,0.0,10.0,20.0,Burgers,15.0,15.0,11.0
A&W,Double Teen Burger,680,351,39.0,17.0,1.0,115.0,1090.0,39.0,1.0,10.0,39.0,60.0,85.0,38.0,45.0,13.0,4.0,78.0,6.0,6.0,10.0,35.0,Burgers,23.0,23.0,18.0
A&W,Grandpa Burger without Cheese,760,414,46.0,19.0,1.5,140.0,1090.0,38.0,1.0,9.0,47.0,71.0,95.0,47.0,45.0,13.0,4.0,94.0,0.0,2.0,4.0,45.0,Burgers,25.0,25.0,20.0
