Company,Category,Item,FreeStyle Points,SmartPoints,PointsPlus
a-w,Burgers,Baby Burger without Cheese,8.0,8.0,6.0
a-w,Burgers,Baby Burger with Cheese,10.0,10.0,8.0
a-w,Burgers,Beyond Meat Burger,15.0,15.0,14.0
a-w,Burgers,Buddy Burger without Cheese,11.0,11.0,8.0
a-w,Burgers,Buddy Burger with Cheese,13.0,13.0,9.0
a-w,Burgers,Cheddar Bacon Uncle Burger,25.0,25.0,20.0
a-w,Burgers,without Cheese Double Buddy Burger,13.0,13.0,11.0
a-w,Burgers,with Cheese Double Buddy Burger,15.0,15.0,11.0
a-w,Burgers,Double Teen Burger,23.0,23.0,18.0
a-w,Burgers,Grandpa Burger without Cheese,25.0,25.0,20.0
a-w,Burgers,Grandpa Burger with Cheese,27.0,27.0,21.0
a-w,Burgers,Lettuce Wrapped Baby Burger without Cheese,4.0,4.0,3.0
a-w,Burgers,Lettuce Wrapped Baby Burger with Cheese,6.0,6.0,4.0
a-w,Burgers,Lettuce Wrapped Beyond Meat Burger,10.0,10.0,9.0
a-w,Burgers,Lettuce Wrapped Buddy Burger without Cheese,7.0,7.0,5.0
a-w,Burgers,Lettuce Wrapped Buddy Burger with Cheese,9.0,9.0,6.0
a-w,Burgers,Lettuce Wrapped Cheddar Bacon Uncle Burger,21.0,21.0,16.0
a-w,Burgers,without Cheese Lettuce Wrapped Double Buddy Burger,9.0,9.0,7.0
a-w,Burgers,with Cheese Lettuce Wrapped Double Buddy Burger,12.0,12.0,8.0
a-w,Burgers,Lettuce Wrapped Double Teen Burger,18.0,18.0,13.0
a-w,Burgers,Lettuce Wrapped Grandpa Burger without Cheese,20.0,20.0,16.0
a-w,Burgers,Lettuce Wrapped Grandpa Burger with Cheese,22.0,22.0,17.0
a-w,Burgers,without Cheese Lettuce Wrapped Mama Burger,9.0,9.0,7.0
a-w,Burgers,with Cheese Lettuce Wrapped Mama Burger,11.0,11.0,8.0
a-w,Burgers,Single Lettuce Wrapped Mozza Burger,16.0,16.0,12.0
a-w,Burgers,Double Lettuce Wrapped Mozza Burger,22.0,22.0,17.0
a-w,Burgers,Lettuce Wrapped Papa Burger without Cheese,14.0,14.0,11.0
a-w,Burgers,Lettuce Wrapped Papa Burger with Cheese,16.0,16.0,12.0
a-w,Burgers,Lettuce Wrapped Teen Burger,12.0,12.0,8.0
a-w,Burgers,without Cheese Mama Burger,13.0,13.0,11.0
a-w,Burgers,with Cheese Mama Burger,15.0,15.0,12.0
a-w,Burgers,Single Mozza Burger,21.0,21.0,16.0
a-w,Burgers,Double Mozza Burger,27.0,27.0,21.0
a-w,Burgers,Papa Burger without Cheese,19.0,19.0,16.0
a-w,Burgers,Papa Burger with Cheese,21.0,21.0,17.0
a-w,Burgers,Teen Burger,17.0,17.0,13.0
a-w,Chicken,Bacon Ranch Chicken Wrap,7.0,8.0,7.0
a-w,Chicken,BLT Chicken Burger,19.0,21.0,18.0
a-w,Chicken,Chicken Buddy Burger,9.0,11.0,10.0
a-w,Chicken,3 Piece Chicken Strips,7.0,8.0,8.0
a-w,Chicken,5 Piece Chicken Strips,11.0,13.0,13.0
a-w,Chicken,Chubby Chicken Burger,12.0,14.0,13.0
a-w,Chicken,Double Chicken Buddy Burger,11.0,15.0,13.0
a-w,Chicken,Lettuce Wrapped BLT Chicken Burger,12.0,13.0,12.0
a-w,Chicken,Lettuce Wrapped Chicken Buddy Burger,5.0,7.0,6.0
a-w,Chicken,Lettuce Wrapped Chubby Chicken Burger,9.0,10.0,10.0
a-w,Chicken,Lettuce Wrapped Double Chicken Buddy Burger,7.0,10.0,9.0
a-w,Chicken,Lettuce Wrapped Spicy Habanero Chicken Burger,9.0,10.0,10.0
a-w,Chicken,Nashville Hot Chicken Sandwich,15.0,17.0,15.0
a-w,Chicken,Spicy Chipotle Chicken Wrap,7.0,8.0,7.0
a-w,Chicken,Spicy Habanero Chicken Burger,13.0,15.0,15.0
a-w,Breakfast,All Canadian Special,27.0,29.0,24.0
a-w,Breakfast,Bacon & Egger on English Muffin,11.0,12.0,10.0
a-w,Breakfast,Bacon & Egger on Sesame Seed Bun,12.0,13.0,11.0
a-w,Breakfast,Breakfast Wrap,6.0,7.0,6.0
a-w,Breakfast,Cheese & Egger on English Muffin,10.0,11.0,9.0
a-w,Breakfast,Cheese & Egger on Sesame Seed Bun,11.0,12.0,10.0
a-w,Breakfast,Classic Bacon & Eggs,15.0,16.0,14.0
a-w,Breakfast,Hash Brown,5.0,5.0,5.0
a-w,Breakfast,Pancakes with Syrup,24.0,24.0,16.0
a-w,Breakfast,Sausage & Cheddar on English Muffin,15.0,15.0,12.0
a-w,Breakfast,Sausage & Cheddar on Sesame Seed Bun,16.0,16.0,13.0
a-w,Breakfast,Sausage & Egger on English Muffin,16.0,17.0,14.0
a-w,Breakfast,Sausage & Egger on Sesame Seed Bun,17.0,18.0,15.0
a-w,Condiments,Barbecue Dipping Sauce,3.0,3.0,2.0
a-w,Condiments,Chipotle Mayonnaise,12.0,12.0,11.0
a-w,Condiments,Small Gravy,2.0,2.0,1.0
a-w,Condiments,Regular Gravy,3.0,3.0,2.0
a-w,Condiments,Honey Mustard Dipping Sauce,4.0,4.0,3.0
a-w,Condiments,Jalapeno Ranch Dipping Sauce,4.0,4.0,3.0
a-w,Condiments,Sweet & Sour Dipping Sauce,3.0,3.0,2.0
a-w,Drinks,Small Apple Juice,10.0,10.0,5.0
a-w,Drinks,Large Apple Juice,18.0,18.0,8.0
a-w,Drinks,Chocolate Milk,7.0,7.0,4.0
a-w,Drinks,Small Chocolate Milkshake,21.0,21.0,11.0
a-w,Drinks,Large Chocolate Milkshake,35.0,35.0,19.0
a-w,Drinks,Small Coca-Cola,9.0,9.0,4.0
a-w,Drinks,Large Coca-Cola,15.0,15.0,7.0
